French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
bureau,office
